위도,경도,num_of_company(near 3km),num_of_large(near 1km),num_of_bus_stop(near 500m),num_of_hospital(near 1km),num_of_theather(near 1km),num_of_camp(near 3km),num_of_school(near 500m),nearest_subway_name,nearest_subway_distance,num_of_subway(near 500m),num_of_gvn_office(near 500m),parks_within_500m,parking_lots_within_500m,university_within_0m_500m,university_within_500m_1000m,university_within_1000m_1500m,university_within_1500m_2000m
35.800333,128.740998,116,0,9,1,0,1,2,임당,3735.260027817863,0,0,1,0,1,0,0,1
35.804084,128.737075,122,0,22,1,0,1,1,임당,3336.7542993774696,0,0,1,0,0,1,0,0
35.807865,128.746831,137,0,5,1,0,1,3,임당,2949.0815485410094,0,0,0,0,0,1,0,0
35.803388,128.737644,122,0,19,1,0,1,2,임당,3408.7918508173616,0,0,1,0,0,1,0,0
35.802835,128.736531,121,0,16,1,0,1,2,임당,3479.832561333161,0,0,1,0,0,1,0,1
35.803388,128.737644,122,0,19,1,0,1,2,임당,3408.7918508173616,0,0,1,0,0,1,0,0
35.803754,128.737809,120,0,22,1,0,1,2,임당,3367.073819783936,0,0,1,0,0,1,0,0
35.807865,128.746831,137,0,5,1,0,1,3,임당,2949.0815485410094,0,0,0,0,0,1,0,0
35.803666,128.738223,119,0,20,1,0,1,2,임당,3373.942562215062,0,0,1,0,0,1,0,0
35.803666,128.738223,119,0,20,1,0,1,2,임당,3373.942562215062,0,0,1,0,0,1,0,0
35.807865,128.746831,137,0,5,1,0,1,3,임당,2949.0815485410094,0,0,0,0,0,1,0,0
35.805131,128.733789,121,0,8,1,0,1,0,정평,3244.8053597179987,0,0,0,0,0,1,0,0
35.803666,128.738223,119,0,20,1,0,1,2,임당,3373.942562215062,0,0,1,0,0,1,0,0
35.801374,128.736237,120,0,13,1,0,1,2,임당,3643.9099430487768,0,0,0,0,0,1,0,1
35.803388,128.737644,122,0,19,1,0,1,2,임당,3408.7918508173616,0,0,1,0,0,1,0,0
35.807865,128.746831,137,0,5,1,0,1,3,임당,2949.0815485410094,0,0,0,0,0,1,0,0
35.802324,128.738952,118,0,19,1,0,1,2,임당,3518.618908787568,0,0,1,0,0,1,0,1
35.801374,128.736237,120,0,13,1,0,1,2,임당,3643.9099430487768,0,0,0,0,0,1,0,1
35.803046,128.737861,123,0,19,1,0,1,2,임당,3444.995642559105,0,0,1,0,0,1,0,0
35.803388,128.737644,122,0,19,1,0,1,2,임당,3408.7918508173616,0,0,1,0,0,1,0,0
35.803388,128.737644,122,0,19,1,0,1,2,임당,3408.7918508173616,0,0,1,0,0,1,0,0
35.801374,128.736237,120,0,13,1,0,1,2,임당,3643.9099430487768,0,0,0,0,0,1,0,1
35.802324,128.738952,118,0,19,1,0,1,2,임당,3518.618908787568,0,0,1,0,0,1,0,1
35.800256,128.736481,121,0,9,0,0,1,2,임당,3764.773581026021,0,0,0,0,0,1,0,1
35.809716,128.740263,154,0,13,1,0,1,2,임당,2694.7136533678795,0,2,0,0,0,1,0,0
35.803801,128.738743,139,0,21,1,0,1,2,임당,3355.977842121572,0,0,1,0,1,0,0,0
35.802487,128.744004,124,0,7,1,0,1,4,임당,3507.67171702787,0,0,1,0,1,0,0,0
35.803666,128.738223,119,0,20,1,0,1,2,임당,3373.942562215062,0,0,1,0,0,1,0,0
35.803666,128.738223,119,0,20,1,0,1,2,임당,3373.942562215062,0,0,1,0,0,1,0,0
35.804184,128.738404,140,0,23,1,0,1,2,임당,3315.473978704036,0,0,1,0,0,1,0,0
35.807865,128.746831,137,0,5,1,0,1,3,임당,2949.0815485410094,0,0,0,0,0,1,0,0
35.803388,128.737644,122,0,19,1,0,1,2,임당,3408.7918508173616,0,0,1,0,0,1,0,0
35.803629,128.738667,118,0,19,1,0,1,2,임당,3375.429699430948,0,0,1,0,1,0,0,0
35.803666,128.738223,119,0,20,1,0,1,2,임당,3373.942562215062,0,0,1,0,0,1,0,0
35.801533,128.737662,116,0,13,1,0,1,2,임당,3613.770453620439,0,0,1,0,0,1,0,1
35.80259,128.738135,119,0,19,1,0,1,2,임당,3493.594018599905,0,0,1,0,0,1,0,1
35.80259,128.738135,119,0,19,1,0,1,2,임당,3493.594018599905,0,0,1,0,0,1,0,1
35.802487,128.744004,124,0,7,1,0,1,4,임당,3507.67171702787,0,0,1,0,1,0,0,0
35.804688,128.741467,130,0,17,1,0,1,3,임당,3252.474684815659,0,0,1,0,1,0,0,0
35.802487,128.744004,124,0,7,1,0,1,4,임당,3507.67171702787,0,0,1,0,1,0,0,0
35.803388,128.737644,122,0,19,1,0,1,2,임당,3408.7918508173616,0,0,1,0,0,1,0,0
35.807865,128.746831,137,0,5,1,0,1,3,임당,2949.0815485410094,0,0,0,0,0,1,0,0
35.802308,128.735674,124,0,15,1,0,1,2,임당,3547.3651573180705,0,0,0,0,0,1,0,1
35.803046,128.737861,123,0,19,1,0,1,2,임당,3444.995642559105,0,0,1,0,0,1,0,0
35.802032,128.740605,114,0,18,1,0,1,2,임당,3546.813083833498,0,0,1,0,1,0,0,1
35.802324,128.738952,118,0,19,1,0,1,2,임당,3518.618908787568,0,0,1,0,0,1,0,1
35.801698,128.735845,118,0,13,1,0,1,2,임당,3612.486365436956,0,0,0,0,0,1,0,1
35.799706,128.740637,118,0,8,1,0,1,2,임당,3804.872161140272,0,0,0,0,0,1,0,1
35.804123,128.738615,140,0,24,1,0,1,2,임당,3321.0005199774982,0,0,1,0,0,1,0,0
35.802324,128.738952,118,0,19,1,0,1,2,임당,3518.618908787568,0,0,1,0,0,1,0,1
35.802487,128.744004,124,0,7,1,0,1,4,임당,3507.67171702787,0,0,1,0,1,0,0,0
35.804123,128.738615,140,0,24,1,0,1,2,임당,3321.0005199774982,0,0,1,0,0,1,0,0
35.805623,128.738197,136,0,21,1,0,1,0,임당,3157.567319898408,0,0,1,0,0,1,0,0
35.804184,128.738404,140,0,23,1,0,1,2,임당,3315.473978704036,0,0,1,0,0,1,0,0
