매출등급,대분류업종,대분류업종코드,도로명주소,위도,경도,num_of_company(near 3km),num_of_large(near 1km),num_of_bus_stop(near 500m),num_of_hospital(near 1km),num_of_theather(near 1km),num_of_camp(near 3km),num_of_school(near 500m),nearest_subway_name,nearest_subway_distance,num_of_subway(near 500m),num_of_gvn_office(near 500m),parks_within_500m,parking_lots_within_500m,university_within_0m_500m,university_within_500m_1000m,university_within_1000m_1500m,university_within_1500m_2000m
6,소매업,6,경산시 삼성현로31길 22,35.8190387,128.7231914,95,1,14,3,0,1,1,정평,1387.863607754755,0,1,2,3,0,0,0,0
4,기타,0,경산시 가일길8길 33,35.83514359999999,128.7776824,397,0,7,0,0,1,0,영남대,2237.4895305248983,0,0,0,0,0,0,0,0
4,음식점,1,경산시 중앙로14길 11,35.8216864,128.7348045,131,2,10,10,0,1,1,정평,344.1722346162685,1,2,1,9,0,0,0,0
4,소매업,6,경산시 강변동로 378,35.84203249999999,128.7282036,84,1,6,3,0,0,0,임당,1465.144554632463,0,0,0,1,0,0,0,0
5,도매업,7,경산시 대학로32길 31-6,35.831204,128.7398884,149,1,10,5,6,1,0,임당,334.8921615214618,1,0,3,0,0,0,0,0
5,소매업,6,경산시 중앙로17길 8,35.8241243,128.7357611,132,2,9,10,6,1,1,정평,135.50652863039605,1,4,2,9,0,0,0,0
9,기타,0,경산시 경청로218길 3,35.8019648,128.7389519,120,0,16,1,0,1,2,정평,2456.2020565921966,0,0,1,0,0,1,0,1
5,기타,0,경산시 가일길24길 26,35.8391685,128.7845995,512,0,6,0,0,0,0,영남대,2875.465786243255,0,0,0,0,0,0,0,0
10,도매업,7,경산시 용암길 29,35.8527368,128.7701519,361,0,5,0,0,0,0,영남대,2391.30532267038,0,0,0,0,0,0,0,0
5,제조업,5,경산시 당곡1길 41,35.8547445,128.8102007,684,0,2,0,0,0,1,영남대,5559.19867407097,0,0,0,0,0,0,0,0
4,음식점,1,경산시 대학로 332,35.8390495,128.7574113,327,0,12,0,0,1,0,영남대,501.4390534686602,0,1,0,0,0,0,0,0
4,도매업,7,경산시 하양로 471,35.9266871,128.8549572,182,0,4,0,0,0,1,영남대,13612.470896518902,0,0,0,0,0,0,0,0
5,도매업,7,경산시 원효로 733,35.816047,128.8142002,317,0,6,0,0,0,0,영남대,5974.446457376883,0,1,0,0,0,0,0,0
4,소매업,6,경산시 팔공로 308-308,35.9593133,128.7760198,54,0,2,0,0,1,0,영남대,13801.760072439374,0,0,0,0,0,0,0,0
6,도매업,7,경산시 성암로12길 31,35.8210336,128.7246177,126,1,19,3,0,1,1,정평,1190.5793543938037,0,1,1,3,0,0,0,0
5,의료,11,경산시 경안로 202,35.82552039999999,128.7372335,132,2,9,10,6,1,0,정평,162.21085563052952,1,4,3,7,0,0,0,0
7,소매업,6,경산시 대구대로 201,35.9024584,128.8478094,225,0,8,0,0,0,0,영남대,11277.497210554193,0,0,0,0,1,0,0,0
5,기타,0,경산시 상대공단길 54-1,35.7890336,128.7959076,133,0,4,0,0,0,0,영남대,6528.751223650416,0,0,0,0,0,0,0,1
6,운송업,3,경산시 선비길 57,35.8193383,128.7246031,126,1,18,3,0,1,1,정평,1257.8457506424804,0,1,1,3,0,0,0,0
