건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도,총점
21,,1.15451E+24,,서울특별시 금천구 시흥대로50길 21,153858,8629,,1,,126.9032895,37.45163761,17
198,2,1.15451E+24,구두수선대,서울특별시 금천구 시흥대로 198-2,153858,8629,,,,126.9019784,37.45164345,65
10,,1.15451E+24,,서울특별시 금천구 금하로23길 10,153841,8574,,,,126.9087596,37.4516522,15
27,,1.15451E+24,,서울특별시 금천구 시흥대로50길 27,153858,8629,,3,,126.903617,37.45165867,44
27,,1.15451E+24,,서울특별시 금천구 시흥대로50길 27,153858,8629,,,,126.903617,37.45165867,47
27,,1.15451E+24,,서울특별시 금천구 시흥대로50길 27,153858,8629,,1,,126.903617,37.45165867,45
699,,1.15451E+24,,서울특별시 금천구 금하로 699,153841,8573,,,,126.9076858,37.4516603,38
699,,1.15451E+24,,서울특별시 금천구 금하로 699,153841,8573,,,,126.9076858,37.4516603,68
36,,1.15451E+24,,서울특별시 금천구 탑골로 36,153035,8657,,,,126.913009,37.45166433,42
29,,1.15451E+24,,서울특별시 금천구 독산로11길 29,153858,8630,,2,,126.9043515,37.45166548,39
692,,1.15451E+24,예원빌딩,서울특별시 금천구 금하로 692,153859,8642,,1,,126.9068944,37.45167101,54
692,,1.15451E+24,예원빌딩,서울특별시 금천구 금하로 692,153859,8642,,,,126.9068944,37.45167101,49
692,,1.15451E+24,예원빌딩,서울특별시 금천구 금하로 692,153859,8642,,1,,126.9068944,37.45167101,9
16,,1.15451E+24,,서울특별시 금천구 탑골로 16,153843,8657,,,,126.9110084,37.45167294,88
34,,1.15451E+24,,서울특별시 금천구 탑골로 34,153035,8657,,1,,126.9128729,37.45169912,59
34,,1.15451E+24,,서울특별시 금천구 탑골로 34,153035,8657,,,,126.9128729,37.45169912,93
34,,1.15451E+24,,서울특별시 금천구 탑골로 34,153035,8657,,1,,126.9128729,37.45169912,21
6,,1.15451E+24,,서울특별시 금천구 시흥대로52길 6,153858,8629,,2,,126.9027913,37.45170507,97
50,,1.15451E+24,,서울특별시 금천구 독산로 50,153859,8642,,,,126.9061819,37.45170947,99
49,,1.15451E+24,운형빌딩,서울특별시 금천구 독산로 49,153858,8630,,3,,126.905741,37.45171439,48
49,,1.15451E+24,운형빌딩,서울특별시 금천구 독산로 49,153858,8630,,1,,126.905741,37.45171439,17
49,,1.15451E+24,운형빌딩,서울특별시 금천구 독산로 49,153858,8630,,5,,126.905741,37.45171439,38
49,,1.15451E+24,운형빌딩,서울특별시 금천구 독산로 49,153858,8630,,4,,126.905741,37.45171439,42
49,,1.15451E+24,운형빌딩,서울특별시 금천구 독산로 49,153858,8630,,2,,126.905741,37.45171439,31
7,,1.15451E+24,,서울특별시 금천구 시흥대로52길 7,153858,8629,,1,,126.9024633,37.45172004,81
7,,1.15451E+24,,서울특별시 금천구 시흥대로52길 7,153858,8629,,2,,126.9024633,37.45172004,34
7,,1.15451E+24,,서울특별시 금천구 시흥대로52길 7,153858,8629,,1,,126.9024633,37.45172004,81
