id,group_id,latitude,longitude,num_of_company,num_of_large,num_of_bus_stop,num_of_hospital,num_of_theather,num_of_camp,num_of_school,nearest_subway_name,nearest_subway_distance,num_of_subway,num_of_gvn_office,parks_within_500m,parking_lots_within_500m,industry_category,avg_sales_level
961,4437,35.83282,128.741658,174,1,10,4,1,0,0,임당,148.61607824151042,1,1,1,0,카페 및 베이커리,5.5
746,4437,35.832963,128.740771,165,1,9,4,1,0,0,임당,115.13550947057274,1,0,1,0,카페 및 베이커리,5.5
1340,4437,35.833391,128.741645,177,1,10,4,1,0,0,임당,96.86801003020716,1,1,1,0,카페 및 베이커리,5.5
927,4438,35.818091,128.729608,131,1,11,5,0,0,5,정평,1775.5359694759916,0,3,0,7,음식점,2.3
1663,4438,35.816539,128.732262,144,1,15,6,0,0,4,정평,1972.804634289264,0,2,0,3,음식점,2.3
1664,4438,35.816225,128.732029,144,1,14,5,0,0,4,정평,2003.858048165057,0,1,0,4,음식점,2.3
927,4439,35.818091,128.729608,131,1,11,5,0,0,5,정평,1775.5359694759916,0,3,0,7,미용,1.0
1663,4439,35.816539,128.732262,144,1,15,6,0,0,4,정평,1972.804634289264,0,2,0,3,미용,1.0
1664,4439,35.816225,128.732029,144,1,14,5,0,0,4,정평,2003.858048165057,0,1,0,4,미용,1.0
927,4440,35.818091,128.729608,131,1,11,5,0,0,5,정평,1775.5359694759916,0,3,0,7,서비스,2.4
1663,4440,35.816539,128.732262,144,1,15,6,0,0,4,정평,1972.804634289264,0,2,0,3,서비스,2.5
1664,4440,35.816225,128.732029,144,1,14,5,0,0,4,정평,2003.858048165057,0,1,0,4,서비스,2.5
927,4441,35.818091,128.729608,131,1,11,5,0,0,5,정평,1775.5359694759916,0,3,0,7,소매업,2.92
1663,4441,35.816539,128.732262,144,1,15,6,0,0,4,정평,1972.804634289264,0,2,0,3,소매업,3.64
1664,4441,35.816225,128.732029,144,1,14,5,0,0,4,정평,2003.858048165057,0,1,0,4,소매업,3.78
927,4442,35.818091,128.729608,131,1,11,5,0,0,5,정평,1775.5359694759916,0,3,0,7,도매업,3.5
1663,4442,35.816539,128.732262,144,1,15,6,0,0,4,정평,1972.804634289264,0,2,0,3,도매업,4.46
1664,4442,35.816225,128.732029,144,1,14,5,0,0,4,정평,2003.858048165057,0,1,0,4,도매업,4.46
927,4443,35.818091,128.729608,131,1,11,5,0,0,5,정평,1775.5359694759916,0,3,0,7,교육,1.6
1663,4443,35.816539,128.732262,144,1,15,6,0,0,4,정평,1972.804634289264,0,2,0,3,교육,1.44
1664,4443,35.816225,128.732029,144,1,14,5,0,0,4,정평,2003.858048165057,0,1,0,4,교육,1.5
927,4444,35.818091,128.729608,131,1,11,5,0,0,5,정평,1775.5359694759916,0,3,0,7,유흥주점,2.0
1663,4444,35.816539,128.732262,144,1,15,6,0,0,4,정평,1972.804634289264,0,2,0,3,유흥주점,2.0
1664,4444,35.816225,128.732029,144,1,14,5,0,0,4,정평,2003.858048165057,0,1,0,4,유흥주점,2.0
927,4445,35.818091,128.729608,131,1,11,5,0,0,5,정평,1775.5359694759916,0,3,0,7,의료,4.0
1663,4445,35.816539,128.732262,144,1,15,6,0,0,4,정평,1972.804634289264,0,2,0,3,의료,4.6
1664,4445,35.816225,128.732029,144,1,14,5,0,0,4,정평,2003.858048165057,0,1,0,4,의료,4.6
875,4446,35.816143,128.723132,106,1,10,3,0,0,0,정평,2051.119463523084,0,0,1,2,음식점,3.57
462,4446,35.817317,128.723907,101,1,10,3,0,0,1,정평,1908.0832589526208,0,0,1,4,음식점,3.25
1567,4446,35.815042,128.727727,146,1,11,4,0,0,4,정평,2113.381710958242,0,1,0,4,음식점,2.79
875,4447,35.816143,128.723132,106,1,10,3,0,0,0,정평,2051.119463523084,0,0,1,2,미용,1.0
462,4447,35.817317,128.723907,101,1,10,3,0,0,1,정평,1908.0832589526208,0,0,1,4,미용,1.0
1567,4447,35.815042,128.727727,146,1,11,4,0,0,4,정평,2113.381710958242,0,1,0,4,미용,1.0
875,4448,35.816143,128.723132,106,1,10,3,0,0,0,정평,2051.119463523084,0,0,1,2,서비스,1.0
462,4448,35.817317,128.723907,101,1,10,3,0,0,1,정평,1908.0832589526208,0,0,1,4,서비스,1.0
1567,4448,35.815042,128.727727,146,1,11,4,0,0,4,정평,2113.381710958242,0,1,0,4,서비스,1.5
875,4449,35.816143,128.723132,106,1,10,3,0,0,0,정평,2051.119463523084,0,0,1,2,소매업,3.69
462,4449,35.817317,128.723907,101,1,10,3,0,0,1,정평,1908.0832589526208,0,0,1,4,소매업,3.86
1567,4449,35.815042,128.727727,146,1,11,4,0,0,4,정평,2113.381710958242,0,1,0,4,소매업,3.6
875,4450,35.816143,128.723132,106,1,10,3,0,0,0,정평,2051.119463523084,0,0,1,2,도매업,6.0
462,4450,35.817317,128.723907,101,1,10,3,0,0,1,정평,1908.0832589526208,0,0,1,4,도매업,6.0
1567,4450,35.815042,128.727727,146,1,11,4,0,0,4,정평,2113.381710958242,0,1,0,4,도매업,3.4
875,4451,35.816143,128.723132,106,1,10,3,0,0,0,정평,2051.119463523084,0,0,1,2,교육,1.5
462,4451,35.817317,128.723907,101,1,10,3,0,0,1,정평,1908.0832589526208,0,0,1,4,교육,1.33
1567,4451,35.815042,128.727727,146,1,11,4,0,0,4,정평,2113.381710958242,0,1,0,4,교육,1.5
875,4452,35.816143,128.723132,106,1,10,3,0,0,0,정평,2051.119463523084,0,0,1,2,의료,2.0
462,4452,35.817317,128.723907,101,1,10,3,0,0,1,정평,1908.0832589526208,0,0,1,4,의료,2.0
1567,4452,35.815042,128.727727,146,1,11,4,0,0,4,정평,2113.381710958242,0,1,0,4,의료,4.5
343,4453,35.83372,128.741925,183,1,10,4,1,0,0,임당,99.8549826372571,1,1,1,0,음식점,2.33
719,4453,35.833391,128.741645,177,1,10,4,1,0,0,임당,96.86801003020716,1,1,1,0,음식점,2.33
1504,4453,35.83327,128.742147,184,1,9,4,1,0,0,임당,140.53427795861697,1,1,1,0,음식점,2.33
343,4454,35.83372,128.741925,183,1,10,4,1,0,0,임당,99.8549826372571,1,1,1,0,서비스,2.67
719,4454,35.833391,128.741645,177,1,10,4,1,0,0,임당,96.86801003020716,1,1,1,0,서비스,2.67
1504,4454,35.83327,128.742147,184,1,9,4,1,0,0,임당,140.53427795861697,1,1,1,0,서비스,2.67
