id,group_id,latitude,longitude,num_of_company,num_of_large,num_of_bus_stop,num_of_hospital,num_of_theather,num_of_camp,num_of_school,nearest_subway_name,nearest_subway_distance,num_of_subway,num_of_gvn_office,parks_within_500m,parking_lots_within_500m,industry_category,avg_sales_level
1412,4337,35.828948,128.730829,125,2,8,9,1,0,2,정평,601.8672560252552,0,3,5,5,소매업,3.24
1153,4338,35.829297,128.731053,125,2,8,9,1,0,2,정평,572.7730462813877,0,3,5,5,도매업,3.67
1260,4338,35.829916,128.731114,125,2,11,8,1,0,2,정평,512.2480293995511,0,2,5,5,도매업,3.75
1412,4338,35.828948,128.730829,125,2,8,9,1,0,2,정평,601.8672560252552,0,3,5,5,도매업,3.67
1153,4339,35.829297,128.731053,125,2,8,9,1,0,2,정평,572.7730462813877,0,3,5,5,교육,1.57
1260,4339,35.829916,128.731114,125,2,11,8,1,0,2,정평,512.2480293995511,0,2,5,5,교육,1.62
1412,4339,35.828948,128.730829,125,2,8,9,1,0,2,정평,601.8672560252552,0,3,5,5,교육,1.57
1153,4340,35.829297,128.731053,125,2,8,9,1,0,2,정평,572.7730462813877,0,3,5,5,유흥주점,1.56
1260,4340,35.829916,128.731114,125,2,11,8,1,0,2,정평,512.2480293995511,0,2,5,5,유흥주점,1.2
1412,4340,35.828948,128.730829,125,2,8,9,1,0,2,정평,601.8672560252552,0,3,5,5,유흥주점,2.18
1153,4341,35.829297,128.731053,125,2,8,9,1,0,2,정평,572.7730462813877,0,3,5,5,의료,3.0
1260,4341,35.829916,128.731114,125,2,11,8,1,0,2,정평,512.2480293995511,0,2,5,5,의료,3.25
1412,4341,35.828948,128.730829,125,2,8,9,1,0,2,정평,601.8672560252552,0,3,5,5,의료,3.0
927,4342,35.818091,128.729608,131,1,11,5,0,0,5,정평,1775.5359694759916,0,3,0,7,음식점,2.3
1663,4342,35.816539,128.732262,144,1,15,6,0,0,4,정평,1972.804634289264,0,2,0,3,음식점,2.3
1034,4342,35.816635,128.732598,144,1,12,6,0,0,4,정평,1967.576930980881,0,2,0,3,음식점,2.25
927,4343,35.818091,128.729608,131,1,11,5,0,0,5,정평,1775.5359694759916,0,3,0,7,미용,1.0
1663,4343,35.816539,128.732262,144,1,15,6,0,0,4,정평,1972.804634289264,0,2,0,3,미용,1.0
1034,4343,35.816635,128.732598,144,1,12,6,0,0,4,정평,1967.576930980881,0,2,0,3,미용,1.0
927,4344,35.818091,128.729608,131,1,11,5,0,0,5,정평,1775.5359694759916,0,3,0,7,서비스,2.4
1663,4344,35.816539,128.732262,144,1,15,6,0,0,4,정평,1972.804634289264,0,2,0,3,서비스,2.5
1034,4344,35.816635,128.732598,144,1,12,6,0,0,4,정평,1967.576930980881,0,2,0,3,서비스,2.29
927,4345,35.818091,128.729608,131,1,11,5,0,0,5,정평,1775.5359694759916,0,3,0,7,소매업,2.92
1663,4345,35.816539,128.732262,144,1,15,6,0,0,4,정평,1972.804634289264,0,2,0,3,소매업,3.64
1034,4345,35.816635,128.732598,144,1,12,6,0,0,4,정평,1967.576930980881,0,2,0,3,소매업,3.44
927,4346,35.818091,128.729608,131,1,11,5,0,0,5,정평,1775.5359694759916,0,3,0,7,도매업,3.5
1663,4346,35.816539,128.732262,144,1,15,6,0,0,4,정평,1972.804634289264,0,2,0,3,도매업,4.46
1034,4346,35.816635,128.732598,144,1,12,6,0,0,4,정평,1967.576930980881,0,2,0,3,도매업,4.4
927,4347,35.818091,128.729608,131,1,11,5,0,0,5,정평,1775.5359694759916,0,3,0,7,교육,1.6
1663,4347,35.816539,128.732262,144,1,15,6,0,0,4,정평,1972.804634289264,0,2,0,3,교육,1.44
